"","profundidad","Edad_del_hielo","Edad_del_gas","delta.D","polvo","CO2","CH4","TEMP_δD"
"1",130,4.26,1.9,-438.94,6.58,274,NA,-55.3233333333333
"2",140,4.66,2.28,-435.94,12.42,273.07,NA,-54.8233333333333
"3",150,5.06,2.66,-439.72,11,272.14,666.93,-55.4533333333333
"4",160,5.45,3.04,-441.88,7.47,271.22,653.54,-55.8133333333333
"5",170,5.85,3.41,-434.77,6.13,270.29,640.15,-54.6283333333333
"6",180,6.27,3.82,-440.36,11.57,268.39,594.65,-55.56
"7",190,6.7,4.25,-441.26,10.33,266.06,593.28,-55.71
"8",200,7.14,4.67,-423.85,15,263.73,591.92,-52.8083333333333
"9",210,7.57,5.09,-438.79,15.48,261.4,590.55,-55.2983333333333
"10",220,8.01,5.52,-438.94,15.95,259.06,589.19,-55.3233333333333
"11",230,8.44,5.94,-435.7,16.75,256.73,585.64,-54.7833333333333
"12",240,8.87,6.36,-434.32,10.25,254.4,579.11,-54.5533333333333
"13",250,9.31,6.79,-439.38,12,252.07,593.3,-55.3966666666667
"14",260,9.76,7.23,-435.64,16.75,255.09,607.49,-54.7733333333333
"15",270,10.24,7.68,-443.25,19.29,257.22,621.4,-56.0416666666667
"16",280,10.74,8.13,-454.11,12,257.77,634.89,-57.8516666666667
"17",290,11.24,8.58,-460.28,30,258.31,648.38,-58.88
"18",300,11.74,9.02,-458.56,16,258.86,661.87,-58.5933333333333
"19",310,12.32,9.52,-451.23,13,257.58,650.61,-57.3716666666667
"20",320,12.94,10.04,-461.94,34,255.66,624.17,-59.1566666666667
"21",330,13.55,10.56,-470.88,68,253.75,500.31,-60.6466666666667
"22",340,14.17,11.08,-476.82,161.5,251.83,496.15,-61.6366666666667
"23",350,14.78,11.6,-483.99,255,249.91,592.5,-62.8316666666667
"24",360,15.39,12.12,-489.57,325.91,247.99,640.33,-63.7616666666667
"25",370,16.01,12.64,-494.94,247.55,246.07,593.7,-64.6566666666667
"26",380,16.69,13.22,-488.96,484,240.5,466.61,-63.66
"27",390,17.48,13.87,-496.59,436.5,230.26,435.7,-64.9316666666667
"28",400,18.26,14.52,-493.46,389,220.02,424.48,-64.41
"29",410,19.05,15.18,-493.2,522.14,209.79,413.27,-64.3666666666667
"30",420,19.83,15.83,-498.63,347.86,199.55,402.06,-65.2716666666667
"31",430,20.63,16.54,-494.72,603.33,193.11,388.12,-64.62
"32",440,21.45,17.34,-495.59,668.43,193.43,369.51,-64.765
"33",450,22.28,18.15,-487.49,267,193.74,356.85,-63.415
"34",460,23.11,18.95,-490.4,364,194.05,353.02,-63.9
"35",470,23.93,19.75,-491.81,518.79,194.37,376.64,-64.135
"36",480,24.76,20.58,-496.94,461.71,195.13,365.26,-64.99
"37",490,25.6,21.42,-489.53,263.47,196.21,349.99,-63.755
"38",500,26.43,22.27,-484.69,166,197.29,381.42,-62.9483333333333
"39",510,27.27,23.11,-494.34,303.45,198.37,403.16,-64.5566666666667
"40",520,28.1,23.96,-488.52,289.82,199.45,395.28,-63.5866666666667
"41",530,28.93,24.81,-492.44,266,199.81,387.39,-64.24
"42",540,29.74,25.66,-485.11,232,199.41,391.67,-63.0183333333333
"43",550,30.56,26.51,-489.15,198,199.02,407.48,-63.6916666666667
"44",560,31.38,27.36,-483.53,133.2,198.63,416.47,-62.755
"45",570,32.19,28.21,-474.11,68.4,198.24,419,-61.185
"46",580,33,29.05,-476.61,71.26,201.8,421.53,-61.6016666666667
"47",590,33.79,29.89,-486.59,136.91,211.31,425.3,-63.265
"48",600,34.59,30.72,-484.11,241,220.81,430.79,-62.8516666666667
"49",610,35.37,31.53,-481.41,104.48,217.71,488.22,-62.4016666666667
"50",620,36.16,32.35,-483.57,88.83,210.85,536.7,-62.7616666666667
"51",630,36.94,33.15,-479.8,85.83,207.51,508.13,-62.1333333333333
"52",640,37.71,33.95,-481.06,80.42,208.66,476.62,-62.3433333333333
"53",650,38.48,34.74,-480.87,75,209.82,474.92,-62.3116666666667
"54",660,39.24,35.52,-471.56,88.13,209.48,481.14,-60.76
"55",670,40.01,36.3,-477.47,92.71,208.87,473.2,-61.745
"56",680,40.77,37.08,-475.69,74.35,208.25,453.2,-61.4483333333333
"57",690,41.53,37.86,-484.76,75.22,207.63,433.2,-62.96
"58",700,42.3,38.64,-483.23,187,207.02,427.04,-62.705
"59",710,43.06,39.4,-485.28,135.75,201.24,432.67,-63.0466666666667
"60",720,43.82,40.16,-483.45,119.92,195.3,438.3,-62.7416666666667
"61",730,44.58,40.92,-481.96,99.8,189.37,436.13,-62.4933333333333
"62",740,45.34,41.68,-478.73,75.4,183.43,426.77,-61.955
"63",750,46.1,42.44,-477.7,51,179.86,417.3,-61.7833333333333
"64",760,46.85,43.2,-476.01,62.75,187.85,407.3,-61.5016666666667
"65",770,47.61,43.96,-478.26,40.25,195.84,415.14,-61.8766666666667
"66",780,48.36,44.71,-475.4,114.18,201.49,443.08,-61.4
"67",790,49.1,45.47,-479.26,95.09,204.6,468.87,-62.0433333333333
"68",800,49.85,46.22,-474.86,76,207.7,484.84,-61.31
"69",810,50.6,46.97,-483.58,78.33,206.42,500.81,-62.7633333333333
"70",820,51.34,47.72,-480.83,101.67,205.15,495.58,-62.305
"71",830,52.09,48.47,-472.77,82.42,203.87,485.05,-60.9616666666667
"72",840,52.84,49.21,-468.12,83.25,202.6,486.85,-60.1866666666667
"73",850,53.58,49.96,-464.16,58,201.32,500.03,-59.5266666666667
"74",860,54.35,50.71,-471.32,172.58,201,513.21,-60.72
"75",870,55.12,51.45,-475.98,287.17,201,519.33,-61.4966666666667
"76",880,55.9,52.2,-475.27,187.63,204.78,525,-61.3783333333333
"77",890,56.69,52.95,-480.92,188.88,211.41,512.51,-62.32
"78",900,57.49,53.7,-484.89,151,218.04,479.56,-62.9816666666667
"79",910,58.3,54.47,-488.53,251.42,217.91,446.61,-63.5883333333333
"80",920,59.11,55.25,-480.97,351.83,215.88,431.71,-62.3283333333333
"81",930,59.94,56.04,-490.14,315.71,213.48,419.74,-63.8566666666667
"82",940,60.78,56.84,-491.61,381.13,210.29,411.32,-64.1016666666667
"83",950,61.63,57.65,-493.53,299,207.11,412.52,-64.4216666666667
"84",960,62.5,58.47,-487.73,246.44,204.63,413.71,-63.455
"85",970,63.38,59.3,-489.51,437.56,202.32,414.32,-63.7516666666667
"86",980,64.26,60.14,-479.63,237.5,199.56,414.74,-62.105
"87",990,65.13,61,-483.98,126,196.2,417.81,-62.83
"88",1000,66.01,61.86,-483.4,25,192.84,425.41,-62.7333333333333
"89",1010,66.88,62.75,-477.96,36,192.36,433.01,-61.8266666666667
"90",1020,67.74,63.65,-483.63,50.5,192.83,430.68,-62.7716666666667
"91",1030,68.59,64.54,-485.65,48.5,195.81,426.86,-63.1083333333333
"92",1040,69.43,65.43,-484.76,80.29,200.14,427.44,-62.96
"93",1050,70.27,66.33,-477.23,41,204.46,441.21,-61.705
"94",1060,71.1,67.2,-469.15,36,212.63,454.97,-60.3583333333333
"95",1070,71.93,68.07,-476.41,31,222,449.26,-61.5683333333333
"96",1080,72.75,68.94,-486.42,38.54,229.73,438.06,-63.2366666666667
"97",1090,73.57,69.79,-477.34,55.63,235.93,433.53,-61.7233333333333
"98",1100,74.39,70.65,-481.76,93,242.13,446.13,-62.46
"99",1110,75.19,71.49,-476.22,100.92,239.98,458.72,-61.5366666666667
"100",1120,75.99,72.34,-467.38,108.83,236.47,444.31,-60.0633333333333
"101",1130,76.79,73.17,-465.7,65.5,233.93,420.41,-59.7833333333333
"102",1140,77.58,74,-461.74,42.5,232.1,405.39,-59.1233333333333
"103",1150,78.37,74.83,-466.86,89,229.95,420.15,-59.9766666666667
"104",1160,79.15,75.64,-462.17,63.17,225.77,434.9,-59.195
"105",1170,79.93,76.45,-466.88,37.33,221.59,457.1,-59.98
"106",1180,80.7,77.26,-462.45,23.63,219.8,481.28,-59.2416666666667
"107",1190,81.47,78.06,-455.84,24.88,220.39,504.24,-58.14
"108",1200,82.24,78.85,-461.33,31,220.98,524.93,-59.055
"109",1210,83.01,79.65,-465.61,33.08,221.57,545.53,-59.7683333333333
"110",1220,83.78,80.45,-468.4,35.17,222.16,563.35,-60.2333333333333
"111",1230,84.55,81.22,-468.79,44.33,224.42,581.17,-60.2983333333333
"112",1240,85.33,81.96,-466.15,61,228.88,586.42,-59.8583333333333
"113",1250,86.1,82.71,-473.96,83,233.33,559.33,-61.16
"114",1260,86.88,83.52,-479.73,67.17,228.31,532.25,-62.1216666666667
"115",1270,87.65,84.35,-477.95,51.33,221.61,496.31,-61.825
"116",1280,88.43,85.16,-470.28,60.5,216.76,459.17,-60.5466666666667
"117",1290,89.21,85.95,-475.39,85.5,213.26,424.68,-61.3983333333333
"118",1300,89.99,86.74,-471.17,95,210.35,420.68,-60.695
"119",1310,90.78,87.53,-464.77,67.08,215.3,418.02,-59.6283333333333
"120",1320,91.56,88.32,-471.4,39.17,220.26,430.78,-60.7333333333333
"121",1330,92.35,89.12,-469.84,36.42,222.77,443.54,-60.4733333333333
"122",1340,93.15,89.91,-466.57,27.25,224.47,453.22,-59.9283333333333
"123",1350,93.94,90.71,-468.47,17,226.31,448.91,-60.245
"124",1360,94.73,91.51,-472,24.52,229.41,444.6,-60.8333333333333
"125",1370,95.53,92.31,-470.42,28.43,232.51,433.08,-60.57
"126",1380,96.33,93.12,-464.69,13.48,232.59,417.34,-59.615
"127",1390,97.13,93.93,-465.83,42.17,229.88,406.11,-59.805
"128",1400,97.93,94.74,-465.48,56,227.18,406.5,-59.7466666666667
"129",1410,98.74,95.55,-463.17,54.75,229.6,406.88,-59.3616666666667
"130",1420,99.55,96.36,-459.69,53.5,233.73,423.21,-58.7816666666667
"131",1430,100.38,97.18,-457.24,55.46,234.1,446.36,-58.3733333333333
"132",1440,101.23,98,-460.89,78.38,229.87,469.52,-58.9816666666667
"133",1450,102.08,98.83,-468.1,72,225.63,479.35,-60.1833333333333
"134",1460,102.97,99.67,-466.45,73.91,226.38,509.63,-59.9083333333333
"135",1470,103.87,100.52,-469.43,37.55,228.01,506.34,-60.405
"136",1480,104.78,101.39,-466.93,27.87,230.58,501.91,-59.9883333333333
"137",1490,105.71,102.28,-468.74,40.04,234.62,524.74,-60.29
"138",1500,106.65,103.17,-469.11,39,238.44,547.58,-60.3516666666667
"139",1510,107.64,104.1,-484.17,35.17,236.94,566.55,-62.8616666666667
"140",1520,108.62,105.03,-481.53,36.48,235.44,581.64,-62.4216666666667
"141",1530,109.6,105.98,-479.63,26.35,236.2,573.31,-62.105
"142",1540,110.57,106.96,-476.4,27.22,240.79,463.41,-61.5666666666667
"143",1550,111.53,107.95,-478.78,17,242.88,444.23,-61.9633333333333
"144",1560,112.45,108.97,-480.79,10.26,239.16,452.74,-62.2983333333333
"145",1570,113.37,109.98,-479.64,17.22,235.43,459.43,-62.1066666666667
"146",1580,114.27,110.97,-473.94,22.71,234.87,466.13,-61.1566666666667
"147",1590,115.15,111.93,-468.3,23.89,237.72,463.5,-60.2166666666667
"148",1600,116.02,112.88,-468.07,32,242.53,457.25,-60.1783333333333
"149",1610,116.85,113.79,-460.36,13.4,255.16,451,-58.8933333333333
