,profundidad,Edad_del_hielo,Edad_del_gas,delta.D,polvo,CO2,CH4,TEMP_?D,tazaTemp,tazaCO2,tazaCH4
1,130,4.26,1.9,-438.94,6.58,274,NA,-55.3233333333333,-1.25,2.44736842105265,NA
2,140,4.66,2.28,-435.94,12.42,273.07,NA,-54.8233333333333,1.57499999999999,2.44736842105265,NA
3,150,5.06,2.66,-439.72,11,272.14,666.93,-55.4533333333333,0.92307692307692,2.42105263157884,-6.19907407407416
4,160,5.45,3.04,-441.88,7.47,271.22,653.54,-55.8133333333333,-2.96249999999999,2.51351351351353,1.88326300984528
5,170,5.85,3.41,-434.77,6.13,270.29,640.15,-54.6283333333333,2.21825396825405,4.6341463414635,-8.13953488372088
6,180,6.27,3.82,-440.36,11.57,268.39,594.65,-55.56,0.348837209302322,5.41860465116276,-1.52222222222227
7,190,6.7,4.25,-441.26,10.33,266.06,593.28,-55.71,-6.59469696969705,5.54761904761901,0.078116025272833
8,200,7.14,4.67,-423.85,15,263.73,591.92,-52.8083333333333,5.7906976744186,5.54761904761915,-0.091700133868809
9,210,7.57,5.09,-438.79,15.48,261.4,590.55,-55.2983333333333,0.056818181818179,5.44186046511623,-9.06666666666737
10,220,8.01,5.52,-438.94,15.95,259.06,589.19,-55.3233333333333,-1.25581395348837,5.547619047619,1.0956790123457
11,230,8.44,5.94,-435.7,16.75,256.73,585.64,-54.7833333333333,-0.534883720930242,5.54761904761908,4.73188405797101
12,240,8.87,6.36,-434.32,10.25,254.4,579.11,-54.5533333333333,1.91666666666681,5.41860465116282,2.80434782608694
13,250,9.31,6.79,-439.38,12,252.07,593.3,-55.3966666666667,-1.38518518518533,-6.86363636363638,-3.79411764705883
14,260,9.76,7.23,-435.64,16.75,255.09,607.49,-54.7733333333333,2.64236111111125,-4.73333333333339,1.82785808147174
15,270,10.24,7.68,-443.25,19.29,257.22,621.4,-56.0416666666667,3.62,-1.22222222222212,1.24217311233886
16,280,10.74,8.13,-454.11,12,257.77,634.89,-57.8516666666667,2.0566666666666,-1.20000000000005,2.18638573743924
17,290,11.24,8.58,-460.28,30,258.31,648.38,-58.88,-0.573333333333409,-1.25000000000003,-7.84302325581409
18,300,11.74,9.02,-458.56,16,258.86,661.87,-58.5933333333333,-2.10632183908034,2.56000000000006,1.53615279672579
19,310,12.32,9.52,-451.23,13,257.58,650.61,-57.3716666666667,2.87903225806453,3.69230769230767,-2.46872082166201
20,320,12.94,10.04,-461.94,34,255.66,624.17,-59.1566666666667,2.44262295081966,3.67307692307691,-13.8545861297539
21,330,13.55,10.56,-470.88,68,253.75,500.31,-60.6466666666667,1.59677419354839,3.69230769230767,-0.700336700336705
22,340,14.17,11.08,-476.82,161.5,251.83,496.15,-61.6366666666667,1.95901639344263,3.69230769230773,13.4379358437936
23,350,14.78,11.6,-483.99,255,249.91,592.5,-62.8316666666667,1.52459016393442,3.69230769230767,8.57168458781365
24,360,15.39,12.12,-489.57,325.91,247.99,640.33,-63.7616666666667,1.44354838709677,3.69230769230771,-8.68342644320297
25,370,16.01,12.64,-494.94,247.55,246.07,593.7,-64.6566666666667,-1.46568627450985,9.60344827586206,21.252508361204
26,380,16.69,13.22,-488.96,484,240.5,466.61,-63.66,1.60970464135026,15.7538461538462,-4.05111402359109
27,390,17.48,13.87,-496.59,436.5,230.26,435.7,-64.9316666666667,-0.668803418803465,15.7538461538461,3.58466453674121
